lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss_step,epoch,val_loss,val_f1score,train_loss_epoch,test_loss,test_acc
,,779,0.4226418435573578,19,,,,,
9.879809365882063e-05,9.879809365882063e-05,789,,,,,,,
9.879809365882063e-05,9.879809365882063e-05,789,,,,,,,
,,789,0.4866781532764435,19,,,,,
9.879809365882063e-05,9.879809365882063e-05,799,,,,,,,
9.879809365882063e-05,9.879809365882063e-05,799,,,,,,,
,,799,0.4547071158885956,19,,,,,
,,799,,19,0.32323116064071655,0.8794830441474915,,,
,,799,,19,,,0.4400012791156769,,
,,800,,20,,,,0.3715571463108063,0.9638541340827942
